Name,Period,Diet,Country,Name_kr,Continent
Aardonyx,Jurassic,herbivore,South Africa,아르도닉스,Africa
Abelisaurus,Cretaceous,carnivore,South America,아벨리사우르스,South America
Abrictosaurus,Jurassic,herbivore,South Africa,아브릭토사우르스,Africa
Abrosaurus,Jurassic,herbivore,China,아브로사우르스,Asia
Abydosaurus,Cretaceous,herbivore,North America,아비도사우르스,North America
Acanthopholis,Cretaceous,herbivore,England,아칸토폴리스,Europe
Achelousaurus,Cretaceous,herbivore,North America,아케로사우르스,North America
Acheroraptor,Cretaceous,carnivore,North America,아케로랩터,North America
Achillesaurus,Cretaceous,carnivore,South America,아킬레사우르스,South America
Achillobator,Cretaceous,carnivore,Mongolia,아킬로바토르,Asia
Acristavus,Cretaceous,herbivore,North America,아크리스타부스,North America
Acrocanthosaurus,Cretaceous,carnivore,North America,아크로칸토사우르스,North America
Acrotholus,Cretaceous,herbivore,North America,아크로톨루스,North America
Adamantisaurus,Cretaceous,herbivore,South America,아담안티사우르스,South America
Adasaurus,Cretaceous,carnivore,Mongolia,아다사우르스,Asia
Adeopapposaurus,Jurassic,herbivore,South America,아데오파포사우르스,South America
Adratiklit,Jurassic,herbivore,Morocco,아드라티클리트,Africa
Adynomosaurus,Cretaceous,herbivore,Spain,아디노모사우르스,Europe
Aegyptosaurus,Cretaceous,herbivore,Egypt,아이지프토사우르스,Africa
Aeolosaurus,Cretaceous,herbivore,South America,아이올로사우르스,South America
Aepisaurus,Cretaceous,herbivore,France,아이피사우르스,Europe
Aerosteon,Cretaceous,carnivore,South America,아에로스테온,South America
Aetonyx,Jurassic,herbivore,South Africa,아에토닉스,Africa
Afrovenator,Jurassic,carnivore,Niger,아프로베나토르,Africa
Agathaumas,Cretaceous,herbivore,North America,아가소마우스,North America
Agilisaurus,Jurassic,herbivore,China,아질리사우르스,Asia
Agrosaurus,Triassic,herbivore,England,아그로사우르스,Europe
Agujaceratops,Cretaceous,herbivore,North America,아구하세라톱스,North America
Agustinia,Cretaceous,herbivore,South America,아구스티니아,South America
Ahshislepelta,Cretaceous,herbivore,North America,아시스레펠타,North America
Airakoraptor,Cretaceous,carnivore,Mongolia,아이라코랩터,Asia
Ajkaceratops,Cretaceous,herbivore,etc,아이카세라톱스,etc
Akainacephalus,Cretaceous,herbivore,North America,아카이나세팔루스,North America
Alamosaurus,Cretaceous,herbivore,North America,알라모사우르스,North America
Alaskacephale,Cretaceous,herbivore,North America,알래스카세팔레,North America
Albalophosaurus,Cretaceous,herbivore,Japan,알발로포사우르스,Asia
Albertaceratops,Cretaceous,herbivore,North America,알베타세라톱스,North America
Albertadromeus,Cretaceous,herbivore,North America,알베르타드로메우스,North America
Albertonykus,Cretaceous,carnivore,North America,알베르토니쿠스,North America
