Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
0,37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,16,0.26,0.410652063,0.408159008,31.67889844,3813.165795
1,37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.444254359,0.425457642,33.44938499,4947.605663
2,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,16,0.26,0.383786508,0.399172403,30.54630597,3866.798965
3,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,1,0.1,0.407564155,0.40878935,31.56258602,4303.94303
4,37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.354413049,0.382702852,28.87371362,3436.493543
5,37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.309669459,0.366283529,27.3454535,2825.003738
6,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.284442614,0.352186419,26.10117938,2625.269164
7,37.5,0.75,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.246568004,0.342825548,25.0423614,2379.905214
8,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.427977027,0.414710939,32.33415267,4234.868585
9,37.5,0.75,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.464365879,0.436345708,34.8499528,5356.871861
10,37.5,0.75,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.379906235,0.375616334,29.07835591,4057.555205
11,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,16,0.26,0.398976956,0.409269062,31.59741611,3941.255122
12,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.437374738,0.426773305,33.53267475,4768.594369
13,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,16,0.26,0.364880783,0.395636151,30.12462708,3720.711588
14,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,1,0.1,0.381314223,0.40248084,30.79374092,3900.344042
15,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.350136522,0.389381151,29.55021089,3387.785165
16,37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.288159094,0.359458632,26.48732245,2688.028831
17,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.279535801,0.35441498,26.28235597,2508.375673
18,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.233554492,0.335338738,24.32062733,1945.530615
19,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.426228043,0.423988312,33.29902167,4310.625398
20,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.454737417,0.435620773,34.70788043,4830.959809
21,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.392540298,0.391582692,30.88504716,3911.422247
22,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.389452628,0.383377956,29.84228529,4051.551293
23,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.384633032,0.40383899,31.10924166,3837.512961
24,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.346410766,0.387580455,29.2486781,3269.271761
25,25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,16,0.26,0.433014308,0.4228466,33.11609108,4503.161856
26,25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,1,0.1,0.462013355,0.435203234,34.46756739,5126.993178
27,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,16,0.26,0.403310637,0.41009134,31.66559817,4248.355054
28,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,1,0.1,0.425010896,0.417545412,32.46088718,4476.811464
29,25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.376670148,0.396533319,30.21832512,3662.183125
30,25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.320417393,0.372179064,27.8743632,2988.05944
31,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.315500071,0.367762987,27.40175511,3049.260316
32,25,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.262139643,0.349353787,25.43353016,2384.728916
33,25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.447780771,0.42726083,33.58954163,4898.835857
34,25,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.502621602,0.454522205,36.61704886,5831.7066
35,25,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.407373541,0.386415506,30.54294428,4334.841218
36,25,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.451910565,0.415971082,33.30696962,5246.521458
